city,year,n_obs,population,alpha,beta,kappa,delta,psi_at_center,p_at_center,psi_at_mean,p_at_mean,zero_ratio_obs,zero_ratio_pred,mean_nonzero_count,remoteness_mean,remoteness_std,remoteness_range,logLik,AIC,BIC,pseudo_R2,MSE,RMSE,MAE,fit_time_sec,n_iterations,convergence,fit_message
Aba,2023,15988002,1188803,-0.227404801,0.1887054466859519,-0.819522405,-0.062530667,0.4433925346341717,0.3058650494222273,0.9177435220130284,0.1552298170866899,0.9035858889684902,0.9036136982783918,2.1386489121740366,13.987304897305556,5.206994730360046,25.84288978230373,-6729266.844,13458541.687093409,13458600.036489902,-0.327192193,0.5099927309456442,0.7141377534801281,0.312327958069569,160.86694407463074,12,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
Brazzaville,2023,15992001,2637733,-0.134830733,0.1955418913162345,-0.2154119,-0.10428157,0.4663432892652737,0.4463543050200579,0.8458838919054108,0.2323042605466662,0.8385674187989358,0.8385883294198447,2.6821124638309906,9.396997034691696,3.4981715052819053,17.363579137968383,-11430638.66,22861285.327676617,22861343.67807349,-0.616993487,1.4016488453633529,1.1839125159247843,0.6581026503037666,147.89592170715332,10,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
Freetown,2023,15992001,1309168,0.7773154512281604,0.1681870066207172,-0.609159281,-0.044604424,0.6851012440143148,0.3522510011804877,0.9530925629822888,0.2311745587730184,0.9417661992392322,0.9417679503275822,2.5822018200853667,13.284143560856709,4.945444959424212,24.547905331127783,-4950618.16,9901244.319915658,9901302.67031253,-0.393950868,0.4994455078222456,0.7067145872431427,0.2611745231169281,144.93920707702637,10,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
Mombasa,2023,15992001,1440396,0.3054142635449062,0.2042518074290936,0.0031485112953293,-0.097855338,0.5757655420577551,0.5007871271735918,0.948001234623365,0.2241926962669907,0.929303406121598,0.9292838756938894,3.0128482725680623,12.718230493083134,4.734546869449083,23.50085581845885,-6022285.754,12044579.507562192,12044637.857959064,-0.474261656,0.829277356418938,0.91064666936136,0.3461659045095233,162.36358094215393,13,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
Monrovia,2023,15988002,1678020,0.9694243884371114,0.1124838569737294,-0.198973233,-0.114326143,0.7250047513297939,0.4504201574758578,0.9082390963353344,0.1760217030715314,0.9144546641913104,0.9144870702991336,2.325353751081196,11.760771653303044,4.378168147515633,21.729445868186943,-6676312.24,13352632.479207627,13352690.828604124,-0.429547065,0.6205250427662227,0.787734119336101,0.3506589620271805,152.2225193977356,11,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
Lilongwe,2023,15996000,1276316,-0.63056678,0.2870078962478452,-0.913070704,-0.075281127,0.3473820331966827,0.2863718874251047,0.9606577361790196,0.1282426905675443,0.9309943735933984,0.9309534524773002,2.057547739021248,13.330245145667266,4.9642019771554695,24.632991766552447,-4747688.803,9495385.605943913,9495443.95734091,-0.182210296,0.367676469689096,0.6063633149268647,0.2190809752203988,209.50612688064567,13,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
Niamey,2023,15992001,1437233,-1.32536693,0.416516280622109,-0.676670585,-0.08772185,0.20992676196042,0.3370047980956024,0.9803773130342344,0.1443591265736078,0.9321782808792972,0.9320768534850646,2.3742320937115355,12.572421030369403,4.681741426261851,23.231316762491367,-4445539.847,8891087.694392042,8891146.044788914,-0.121054532,0.4359752194378927,0.6602841959625361,0.2279406000178872,264.65836930274963,17,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
Nouakchott,2023,15992001,1491958,-2.546827859,0.651262121547081,-0.18201304,-0.138596547,0.0726398818979184,0.4546219473027911,0.9955135710104924,0.1331183615993527,0.9333091587475514,0.9332808086093916,2.9642285189213515,12.205576359107257,4.548383382674219,22.55401863027488,-4078447.389,8156902.777293695,8156961.127690566,-0.040966915,0.5349638026934982,0.7314121975285196,0.2265524109854318,242.20669078826904,19,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
Bujumbura,2023,15992001,1206767,-0.167209017,0.2518268088328437,-0.267607895,-0.114308346,0.4582948695095389,0.4334944472907905,0.9655499724053171,0.1351120037798226,0.9406482028108928,0.9406203528771498,2.5554272541652883,13.90001760819212,5.174478135278054,25.6819560646712,-4499153.43,8998314.860232335,8998373.210629206,-0.24938916,0.4626644728655341,0.6801944375438057,0.2322117925368191,167.2440640926361,13,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
Oran,2023,15996000,935947,-0.088877075,0.2336313531919539,-0.271157349,-0.016932499,0.4777953456645014,0.4326229896461709,0.9632619219207228,0.3741766572862189,0.9317495623905976,0.931750774720719,3.622462064935232,14.361893739129306,5.437773986877353,26.59318166221989,-5768873.835,11537755.66949655,11537814.020893546,-0.44785114,1.0286016584910749,1.014200009116089,0.4063828280880774,170.81699514389038,12,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
